Year,Group
1978,6&7
1979,6&7
1980,6&7
1981,6&7
1982,6&7
1992,8
1993,8
1994,8
1996,8
2000,8
2001,8
2002,8
2003,8
2004,8
2005,8
2006,8
2007,8
2014,8
2016,8
