Year,Group
1953,Lazo
1959,ESoG
1963,ESoG
1971,Lazo
1985,Lazo
1996,SDodd
1997,SDodd
2000,SDodd
2001,Lazo
2001,ESoG
2002,SDodd
2002,ESoG
2003,SDodd
2003,ESoG
2004,SDodd
2004,Lazo
2004,ESoG
2005,SDodd
2005,ESoG
2006,ESoG
2007,SDodd
2007,ESoG
2008,Lazo
2008,ESoG
2009,SDodd
2009,Lazo
2010,Lazo
2011,Lazo
2011,ESoG
2012,Lazo
2012,ESoG
2013,SDodd
2013,Lazo
2013,ESoG
2014,Lazo
2014,ESoG
2015,Lazo
2015,ESoG
2016,ESoG
2017,Lazo
2019,SDodd
2019,Lazo
