Year,Group
1975,SDodd
1975,ESoG
1976,ESoG
1978,Lazo
1979,14&17
1979,ESoG
1980,14&17
1980,ESoG
1981,Lazo
1981,SDodd
1981,ESoG
1982,Lazo
1982,SDodd
1982,ESoG
1983,Lazo
1983,14&17
1983,SDodd
1983,ESoG
1984,Lazo
1984,SDodd
1984,ESoG
1985,Lazo
1985,SDodd
