Year,StatArea
1981,23
1991,23
1991,24
1991,25
1992,23
1992,24
1992,25
1994,24
1994,25
1996,23
1997,23
1998,23
1998,24
1998,25
1999,24
2000,24
2000,25
2001,24
2001,25
2002,24
2003,23
2003,24
2004,23
2004,24
2004,25
2005,23
2005,24
